,country_name,occupation_name,year,skill_name,impt_rank
415,Australia,Support Associate,2015,Community Development,6
416,Australia,Support Associate,2015,Crisis Intervention,7
417,Australia,Support Associate,2015,Coaching,8
418,Australia,Support Associate,2015,Program Development,9
419,Australia,Support Associate,2015,Public Speaking,10
420,Australia,Support Officer,2015,Public Policy,1
421,Australia,Support Officer,2015,Change Management,2
422,Australia,Support Officer,2015,Stakeholder Management,3
423,Australia,Support Officer,2015,Government,4
424,Australia,Support Officer,2015,Office Administration,5
425,Australia,Support Officer,2015,Administration,6
426,Australia,Support Officer,2015,Training,7
427,Australia,Support Officer,2015,Stakeholder Engagement,8
428,Australia,Support Officer,2015,Customer Service,9
429,Australia,Support Officer,2015,Research,10
430,Australia,Teacher,2015,Curriculum Development,1
431,Australia,Teacher,2015,Teaching,2
432,Australia,Teacher,2015,Educational Leadership,3
433,Australia,Teacher,2015,Classroom Management,4
434,Australia,Teacher,2015,Lesson Planning,5
435,Australia,Teacher,2015,Staff Development,6
436,Australia,Teacher,2015,Educational Technology,7
437,Australia,Teacher,2015,Tutoring,8
438,Australia,Teacher,2015,Teacher Training,9
439,Australia,Teacher,2015,Literacy,10
440,Australia,Writer,2015,Writing,1
441,Australia,Writer,2015,Creative Writing,2
442,Australia,Writer,2015,Editing,3
443,Australia,Writer,2015,Blogging,4
444,Australia,Writer,2015,Copy Editing,5
445,Australia,Writer,2015,Copywriting,6
446,Australia,Writer,2015,Publishing,7
447,Australia,Writer,2015,Proofreading,8
448,Australia,Writer,2015,Storytelling,9
449,Australia,Writer,2015,Publications,10
450,Brazil,Account Executive,2015,Marketing Strategy,1
451,Brazil,Account Executive,2015,Negotiation,2
452,Brazil,Account Executive,2015,Business Planning,3
453,Brazil,Account Executive,2015,Operating Systems,4
454,Brazil,Account Executive,2015,Business Strategy,5
455,Brazil,Account Executive,2015,Strategic Planning,6
456,Brazil,Account Executive,2015,Marketing,7
457,Brazil,Account Executive,2015,Digital Marketing,8
458,Brazil,Account Executive,2015,Sales Management,9
459,Brazil,Account Executive,2015,Market Planning,10
460,Brazil,Account Manager,2015,Operating Systems,1
461,Brazil,Account Manager,2015,Business Planning,2
462,Brazil,Account Manager,2015,Negotiation,3
463,Brazil,Account Manager,2015,Business Strategy,4
464,Brazil,Account Manager,2015,Sales Management,5
465,Brazil,Account Manager,2015,Marketing Strategy,6
466,Brazil,Account Manager,2015,Team Leadership,7
467,Brazil,Account Manager,2015,Strategic Planning,8
468,Brazil,Account Manager,2015,Portuguese,9
469,Brazil,Account Manager,2015,Market Planning,10
470,Brazil,Accountant,2015,Accounting,1
471,Brazil,Accountant,2015,Financial Reporting,2
472,Brazil,Accountant,2015,Microsoft PowerPoint,3
473,Brazil,Accountant,2015,Microsoft Word,4
474,Brazil,Accountant,2015,Financial Analysis,5
475,Brazil,Accountant,2015,Internal Controls,6
476,Brazil,Accountant,2015,Microsoft Excel,7
477,Brazil,Accountant,2015,Tax,8
478,Brazil,Accountant,2015,Business Planning,9
479,Brazil,Accountant,2015,Enterprise Resource Planning (ERP),10
480,Brazil,Accounting Analyst,2015,Accounting,1
481,Brazil,Accounting Analyst,2015,Financial Reporting,2
482,Brazil,Accounting Analyst,2015,SAP Products,3
483,Brazil,Accounting Analyst,2015,Enterprise Resource Planning (ERP),4
484,Brazil,Accounting Analyst,2015,Financial Analysis,5
485,Brazil,Accounting Analyst,2015,Internal Controls,6
486,Brazil,Accounting Analyst,2015,Microsoft PowerPoint,7
487,Brazil,Accounting Analyst,2015,Operating Systems,8
488,Brazil,Accounting Analyst,2015,Tax,9
489,Brazil,Accounting Analyst,2015,Microsoft Word,10
490,Brazil,Accounting Assistant,2015,Accounting,1
491,Brazil,Accounting Assistant,2015,Microsoft PowerPoint,2
492,Brazil,Accounting Assistant,2015,Microsoft Word,3
493,Brazil,Accounting Assistant,2015,Microsoft Excel,4
494,Brazil,Accounting Assistant,2015,Financial Reporting,5
495,Brazil,Accounting Assistant,2015,Tax,6
496,Brazil,Accounting Assistant,2015,Windows,7
497,Brazil,Accounting Assistant,2015,Financial Analysis,8
498,Brazil,Accounting Assistant,2015,Strategic Planning,9
499,Brazil,Accounting Assistant,2015,Internal Controls,10
500,Brazil,Administrative Analyst,2015,Operating Systems,1
501,Brazil,Administrative Analyst,2015,Negotiation,2
502,Brazil,Administrative Analyst,2015,Microsoft PowerPoint,3
503,Brazil,Administrative Analyst,2015,Microsoft Word,4
504,Brazil,Administrative Analyst,2015,SAP Products,5
505,Brazil,Administrative Analyst,2015,Portuguese,6
506,Brazil,Administrative Analyst,2015,Business Planning,7
507,Brazil,Administrative Analyst,2015,Strategic Planning,8
508,Brazil,Administrative Analyst,2015,Microsoft Excel,9
509,Brazil,Administrative Analyst,2015,Business Strategy,10
510,Brazil,Administrative Assistant,2015,Microsoft PowerPoint,1
511,Brazil,Administrative Assistant,2015,Microsoft Word,2
512,Brazil,Administrative Assistant,2015,Microsoft Excel,3
513,Brazil,Administrative Assistant,2015,Operating Systems,4
514,Brazil,Administrative Assistant,2015,Negotiation,5
515,Brazil,Administrative Assistant,2015,Microsoft Outlook,6
516,Brazil,Administrative Assistant,2015,Windows,7
517,Brazil,Administrative Assistant,2015,Strategic Planning,8
518,Brazil,Administrative Assistant,2015,Customer Service,9
519,Brazil,Administrative Assistant,2015,Administrative Assistance,10
520,Brazil,Administrative Associate,2015,Microsoft Word,1
521,Brazil,Administrative Associate,2015,Microsoft PowerPoint,2
522,Brazil,Administrative Associate,2015,Microsoft Excel,3
523,Brazil,Administrative Associate,2015,Windows,4
524,Brazil,Administrative Associate,2015,Customer Service,5
525,Brazil,Administrative Associate,2015,Strategic Planning,6
526,Brazil,Administrative Associate,2015,Negotiation,7
527,Brazil,Administrative Associate,2015,Operating Systems,8
528,Brazil,Administrative Associate,2015,Microsoft Office,9
529,Brazil,Administrative Associate,2015,Microsoft Outlook,10
530,Brazil,Administrative Coordinator,2015,Operating Systems,1
531,Brazil,Administrative Coordinator,2015,Negotiation,2
532,Brazil,Administrative Coordinator,2015,Portuguese,3
533,Brazil,Administrative Coordinator,2015,Business Planning,4
534,Brazil,Administrative Coordinator,2015,Microsoft PowerPoint,5
535,Brazil,Administrative Coordinator,2015,Strategic Planning,6
536,Brazil,Administrative Coordinator,2015,Microsoft Word,7
537,Brazil,Administrative Coordinator,2015,Team Leadership,8
538,Brazil,Administrative Coordinator,2015,Business Strategy,9
539,Brazil,Administrative Coordinator,2015,Microsoft Excel,10
540,Brazil,Administrative Manager,2015,Negotiation,1
541,Brazil,Administrative Manager,2015,Business Planning,2
542,Brazil,Administrative Manager,2015,Operating Systems,3
543,Brazil,Administrative Manager,2015,Microsoft PowerPoint,4
544,Brazil,Administrative Manager,2015,Strategic Planning,5
545,Brazil,Administrative Manager,2015,Microsoft Word,6
546,Brazil,Administrative Manager,2015,Business Strategy,7
547,Brazil,Administrative Manager,2015,Portuguese,8
548,Brazil,Administrative Manager,2015,Microsoft Excel,9
549,Brazil,Administrative Manager,2015,Team Leadership,10
550,Brazil,Administrative Specialist,2015,Microsoft PowerPoint,1
551,Brazil,Administrative Specialist,2015,Microsoft Word,2
552,Brazil,Administrative Specialist,2015,Microsoft Excel,3
553,Brazil,Administrative Specialist,2015,Negotiation,4
554,Brazil,Administrative Specialist,2015,Strategic Planning,5
555,Brazil,Administrative Specialist,2015,Operating Systems,6
556,Brazil,Administrative Specialist,2015,Portuguese,7
