,country_name,industry_group_name,year,skill_name,impt_rank,rank_diff,highest_ss,closest_skill
89,Australia,Entertainment,2021,Music Production,10,New,88.8991781834,Entertainment
90,Australia,Finance,2021,Financial Services,1,0,100,Financial Services
91,Australia,Finance,2021,Banking,2,4,100,Banking
92,Australia,Finance,2021,Mortgage Lending,3,New,97.4788625222,Loans
93,Australia,Finance,2021,Superannuation,4,6,100,Superannuation
94,Australia,Finance,2021,Stakeholder Management,5,-2,100,Stakeholder Management
95,Australia,Finance,2021,Retail Banking,6,1,100,Retail Banking
96,Australia,Finance,2021,Insurance,7,New,86.5234427407,Financial Services
97,Australia,Finance,2021,Stakeholder Engagement,8,New,91.8908697724,Stakeholder Management
98,Australia,Finance,2021,Risk Management,9,-4,100,Risk Management
99,Australia,Finance,2021,Loans,10,-1,100,Loans
100,Australia,Hardware & Networking,2021,Telecommunications,1,2,100,Telecommunications
101,Australia,Hardware & Networking,2021,Stakeholder Management,2,-1,100,Stakeholder Management
102,Australia,Hardware & Networking,2021,Agile Methodologies,3,New,73.9621064343,Mobile Devices
103,Australia,Hardware & Networking,2021,Amazon Web Services (AWS),4,New,65.0634031692,Mobile Devices
104,Australia,Hardware & Networking,2021,Agile Project Management,5,New,79.501872611,Project Delivery
105,Australia,Hardware & Networking,2021,Change Management,6,New,84.8604754621,Stakeholder Management
106,Australia,Hardware & Networking,2021,Telco,7,New,89.8222691074,Internet Protocol (IP)
107,Australia,Hardware & Networking,2021,Cloud Computing,8,New,86.3210661456,Managed Services
108,Australia,Hardware & Networking,2021,Stakeholder Engagement,9,New,91.8908697724,Stakeholder Management
109,Australia,Hardware & Networking,2021,Diversity & Inclusion,10,New,67.5352703024,Stakeholder Management
110,Australia,Health Care,2021,Nursing,1,5,100,Nursing
111,Australia,Health Care,2021,Healthcare,2,-1,100,Healthcare
112,Australia,Health Care,2021,NDIS,3,New,66.3163593315,Healthcare Information Technology (HIT)
113,Australia,Health Care,2021,Elder Care,4,New,89.523278027,Nursing
114,Australia,Health Care,2021,Mental Health,5,5,100,Mental Health
115,Australia,Health Care,2021,Medication Administration,6,New,94.8041894073,Nursing
116,Australia,Health Care,2021,Patient Safety,7,-2,100,Patient Safety
117,Australia,Health Care,2021,Patient Advocacy,8,New,93.7603277983,Patient Safety
118,Australia,Health Care,2021,Wound Care,9,New,95.3084789742,Nursing
119,Australia,Health Care,2021,Nursing Education,10,New,96.6073329155,Nursing
120,Australia,Legal,2021,Legal Research,1,2,100,Legal Research
121,Australia,Legal,2021,Legal Writing,2,2,100,Legal Writing
122,Australia,Legal,2021,Legal Assistance,3,4,100,Legal Assistance
123,Australia,Legal,2021,LEAP,4,New,61.2618911795,Dispute Resolution
124,Australia,Legal,2021,Legal Document Preparation,5,New,92.045463774,Legal Assistance
125,Australia,Legal,2021,Legal Advice,6,-1,100,Legal Advice
126,Australia,Legal,2021,Legal Administration,7,New,88.3194520015,Legal Assistance
127,Australia,Legal,2021,Litigation,8,-2,100,Litigation
128,Australia,Legal,2021,Conveyancing,9,New,87.2353435451,Legal Assistance
129,Australia,Legal,2021,Document Drafting,10,New,91.8030864293,Legal Assistance
130,Australia,Manufacturing,2021,Manufacturing,1,1,100,Manufacturing
131,Australia,Manufacturing,2021,SOLIDWORKS,2,New,87.2416138405,Engineering
132,Australia,Manufacturing,2021,Mechanical Engineering,3,New,92.8252033983,Engineering
133,Australia,Manufacturing,2021,MYOB,4,New,50.4783325211,Account Management
134,Australia,Manufacturing,2021,Automotive,5,-2,100,Automotive
135,Australia,Manufacturing,2021,Forklift Operation,6,New,74.2510013886,Operations Management
136,Australia,Manufacturing,2021,Electrical Wiring,7,New,91.2197119896,Commissioning
137,Australia,Manufacturing,2021,Computer-Aided Design (CAD),8,New,88.925622917,Engineering
138,Australia,Manufacturing,2021,MATLAB,9,New,78.9872745139,Engineering
139,Australia,Manufacturing,2021,Stakeholder Engagement,10,New,61.3525562456,Operations Management
140,Australia,Media & Communications,2021,Copywriting,1,3,100,Copywriting
141,Australia,Media & Communications,2021,Search Engine Optimization (SEO),2,New,95.1448465767,Online Marketing
142,Australia,Media & Communications,2021,Social Media Marketing,3,2,100,Social Media Marketing
143,Australia,Media & Communications,2021,Digital Marketing,4,-2,100,Digital Marketing
144,Australia,Media & Communications,2021,Content Strategy,5,New,94.4334379864,Digital Media
145,Australia,Media & Communications,2021,Editing,6,New,86.497555155,Copywriting
146,Australia,Media & Communications,2021,Email Marketing,7,2,100,Email Marketing
147,Australia,Media & Communications,2021,Social Media,8,New,93.95369494,Social Media Marketing
148,Australia,Media & Communications,2021,Advertising,9,-3,100,Advertising
149,Australia,Media & Communications,2021,Google Analytics,10,New,93.2064274656,Digital Marketing
150,Australia,Nonprofit,2021,NDIS,1,New,60.8197302105,Case Management
151,Australia,Nonprofit,2021,Case Management,2,5,100,Case Management
152,Australia,Nonprofit,2021,Community Engagement,3,-1,100,Community Engagement
153,Australia,Nonprofit,2021,Stakeholder Engagement,4,0,100,Stakeholder Engagement
154,Australia,Nonprofit,2021,Nonprofit Organizations,5,-4,100,Nonprofit Organizations
155,Australia,Nonprofit,2021,Social Work,6,New,89.0954671912,Case Management
156,Australia,Nonprofit,2021,Working With Children,7,New,75.0090976079,Case Management
157,Australia,Nonprofit,2021,Mental Health,8,New,93.3528234,Case Management
158,Australia,Nonprofit,2021,Mental Health First Aid,9,New,84.8344926644,Case Management
159,Australia,Nonprofit,2021,Family Services,10,New,93.6907936116,Case Management
160,Australia,Public Administration,2021,Stakeholder Engagement,1,0,100,Stakeholder Engagement
161,Australia,Public Administration,2021,Community Engagement,2,2,100,Community Engagement
162,Australia,Public Administration,2021,Stakeholder Management,3,-1,100,Stakeholder Management
163,Australia,Public Administration,2021,Government,4,-1,100,Government
164,Australia,Public Administration,2021,Local Government,5,1,100,Local Government
165,Australia,Public Administration,2021,Public Policy,6,-1,100,Public Policy
166,Australia,Public Administration,2021,Policy Development,7,New,88.3751522442,Public Policy
167,Australia,Public Administration,2021,Policy Analysis,8,1,100,Policy Analysis
168,Australia,Public Administration,2021,Public Sector,9,-2,100,Public Sector
169,Australia,Public Administration,2021,Change Management,10,0,100,Change Management
170,Australia,Public Safety,2021,Criminal Investigations,1,New,98.8576628089,Police
171,Australia,Public Safety,2021,Military Operations,2,4,100,Military Operations
172,Australia,Public Safety,2021,Law Enforcement,3,4,100,Law Enforcement
173,Australia,Public Safety,2021,Military Leadership,4,New,94.3557591175,Military
174,Australia,Public Safety,2021,Military,5,-3,100,Military
175,Australia,Public Safety,2021,Emergency Management,6,-5,100,Emergency Management
176,Australia,Public Safety,2021,Military Training,7,New,97.3588473076,Military Operations
177,Australia,Public Safety,2021,Public Safety,8,-4,100,Public Safety
178,Australia,Public Safety,2021,Stakeholder Engagement,9,New,76.9030028076,Government
179,Australia,Public Safety,2021,Emergency Services,10,New,96.3676387066,Emergency Management
180,Australia,Real Estate,2021,Real Estate,1,4,100,Real Estate
181,Australia,Real Estate,2021,Residential Real Estate,2,2,100,Residential Real Estate
182,Australia,Real Estate,2021,Property Management,3,-1,100,Property Management
183,Australia,Real Estate,2021,Real Estate Transactions,4,2,100,Real Estate Transactions
184,Australia,Real Estate,2021,Real Estate Development,5,-2,100,Real Estate Development
185,Australia,Real Estate,2021,Investment Properties,6,-5,100,Investment Properties
186,Australia,Real Estate,2021,Commercial Real Estate,7,2,100,Commercial Real Estate
187,Australia,Real Estate,2021,Residential Investment Property,8,New,91.5503901754,Commercial Real Estate
188,Australia,Real Estate,2021,Real Estate Appraisal,9,New,93.9461058056,Real Estate Development
189,Australia,Real Estate,2021,Lease Negotiations,10,New,92.3260472354,Property Management
190,Australia,Recreation & Travel,2021,Barista,1,New,81.8684221456,Hospitality
191,Australia,Recreation & Travel,2021,Hospitality,2,1,100,Hospitality
192,Australia,Recreation & Travel,2021,Time Management,3,New,86.1877926037,Hospitality
193,Australia,Recreation & Travel,2021,Hospitality Service,4,New,87.2318233119,Hospitality
194,Australia,Recreation & Travel,2021,Rostering,5,New,74.7077176862,Hospitality
195,Australia,Recreation & Travel,2021,Responsible Service of Alcohol,6,New,89.9646750461,Restaurant Management
196,Australia,Recreation & Travel,2021,Bartending,7,New,90.8176757043,Restaurant Management
197,Australia,Recreation & Travel,2021,Food & Beverage,8,-4,100,Food & Beverage
198,Australia,Recreation & Travel,2021,Cash Handling,9,New,76.5462515439,Hospitality
199,Australia,Recreation & Travel,2021,Customer Service,10,New,88.2193472252,Hospitality
200,Australia,Retail,2021,Retail Sales,1,5,100,Retail Sales
201,Australia,Retail,2021,Visual Merchandising,2,1,100,Visual Merchandising
202,Australia,Retail,2021,Retail,3,-2,100,Retail
203,Australia,Retail,2021,Point of Sale (POS) Systems,4,New,87.1371891102,Retail Sales
204,Australia,Retail,2021,Rostering,5,New,75.2998623387,Time Management
205,Australia,Retail,2021,Time Management,6,1,100,Time Management
206,Australia,Retail,2021,Cash Handling,7,New,85.9827486496,Retail Sales
207,Australia,Retail,2021,Customer Service,8,New,87.4262523695,Time Management
208,Australia,Retail,2021,MYOB,9,New,69.4791137855,Time Management
209,Australia,Retail,2021,Stock Management,10,New,87.0657903058,Retail Sales
210,Australia,Software & IT Services,2021,Amazon Web Services (AWS),1,New,83.5410072303,Agile Methodologies
211,Australia,Software & IT Services,2021,Microsoft Azure,2,New,82.0928531455,Cloud Computing
212,Australia,Software & IT Services,2021,Agile Methodologies,3,4,100,Agile Methodologies
213,Australia,Software & IT Services,2021,Jira,4,New,91.9903405064,Agile Methodologies
214,Australia,Software & IT Services,2021,SQL,5,New,91.4484175136,Agile Methodologies
215,Australia,Software & IT Services,2021,Python (Programming Language),6,New,75.6681709305,Agile Methodologies
216,Australia,Software & IT Services,2021,Cloud Computing,7,-2,100,Cloud Computing
217,Australia,Software & IT Services,2021,React.js,8,New,77.429407055,Agile Methodologies
218,Australia,Software & IT Services,2021,Information Technology,9,New,81.805805134,IT Strategy
219,Australia,Software & IT Services,2021,JavaScript,10,New,85.7585826004,Agile Methodologies
220,Australia,Transportation & Logistics,2021,Forklift Operation,1,New,82.0677060178,Warehouse Operations
221,Australia,Transportation & Logistics,2021,Freight,2,0,100,Freight
222,Australia,Transportation & Logistics,2021,Rail Operations,3,New,89.9477403133,Transportation
223,Australia,Transportation & Logistics,2021,Warehouse Operations,4,2,100,Warehouse Operations
224,Australia,Transportation & Logistics,2021,Stakeholder Engagement,5,New,61.3525562456,Operations Management
225,Australia,Transportation & Logistics,2021,Road Transport,6,New,91.0174084193,Transportation
226,Australia,Transportation & Logistics,2021,Rail Safety,7,New,82.4632244889,Transportation
227,Australia,Transportation & Logistics,2021,Rail Transport,8,New,83.509076596,Transportation
228,Australia,Transportation & Logistics,2021,Stakeholder Management,9,New,67.6611496933,Operations Management
229,Australia,Transportation & Logistics,2021,Transportation Management,10,-7,100,Transportation Management
230,Australia,Wellness & Fitness,2021,Exercise Prescription,1,New,95.1995597672,Strength Training
231,Australia,Wellness & Fitness,2021,Strength & Conditioning,2,New,98.2326917161,Strength Training
232,Australia,Wellness & Fitness,2021,Wellness Coaching,3,2,100,Wellness Coaching
233,Australia,Wellness & Fitness,2021,Personal Training,4,6,100,Personal Training
234,Australia,Wellness & Fitness,2021,Strength Training,5,1,100,Strength Training
235,Australia,Wellness & Fitness,2021,Fitness,6,-4,100,Fitness
236,Australia,Wellness & Fitness,2021,Fitness Instruction,7,New,96.5658220645,Fitness Training
237,Australia,Wellness & Fitness,2021,Fitness Training,8,1,100,Fitness Training
238,Australia,Wellness & Fitness,2021,Holistic Health,9,-5,100,Holistic Health
239,Australia,Wellness & Fitness,2021,Rehabilitation,10,-3,100,Rehabilitation
240,Brazil,Agriculture,2021,Agronomy,1,2,100,Agronomy
241,Brazil,Agriculture,2021,Agribusiness,2,-1,100,Agribusiness
242,Brazil,Agriculture,2021,Agriculture,3,-1,100,Agriculture
243,Brazil,Agriculture,2021,Farms,4,New,95.9503780991,Agriculture
244,Brazil,Agriculture,2021,Sustainable Agriculture,5,New,97.236835292,Agriculture
245,Brazil,Agriculture,2021,Technical Assistance,6,New,63.662690113,Agriculture
246,Brazil,Agriculture,2021,Portuguese,7,-2,100,Portuguese
247,Brazil,Agriculture,2021,Crop Protection,8,0,100,Crop Protection
248,Brazil,Agriculture,2021,5S,9,-5,100,5S
249,Brazil,Agriculture,2021,Operating Systems,10,-3,100,Operating Systems
250,Brazil,Arts,2021,Portrait Photography,1,3,100,Portrait Photography
251,Brazil,Arts,2021,Event Photography,2,4,100,Event Photography
252,Brazil,Arts,2021,Commercial Photography,3,4,100,Commercial Photography
253,Brazil,Arts,2021,Studio Photography,4,New,99.1622276294,Commercial Photography
254,Brazil,Arts,2021,Fine Art Photography,5,New,98.4782416779,Portrait Photography
255,Brazil,Arts,2021,Fashion Photography,6,New,94.7033617039,Commercial Photography
256,Brazil,Arts,2021,Photography,7,-6,100,Photography
257,Brazil,Arts,2021,Image Editing,8,New,96.239604924,Digital Photography
258,Brazil,Arts,2021,Product Photography,9,New,96.694546839,Commercial Photography
259,Brazil,Arts,2021,Visual Arts,10,-5,100,Visual Arts
260,Brazil,Construction,2021,Civil Engineering,1,2,100,Civil Engineering
261,Brazil,Construction,2021,Construction,2,0,100,Construction
262,Brazil,Construction,2021,Revit,3,New,90.9481404333,AutoCAD
263,Brazil,Construction,2021,AutoCAD,4,0,100,AutoCAD
264,Brazil,Construction,2021,Portuguese,5,4,100,Portuguese
265,Brazil,Construction,2021,Project Analysis,6,New,89.2161176608,Microsoft Project
266,Brazil,Construction,2021,Microsoft Project,7,-6,100,Microsoft Project
267,Brazil,Construction,2021,Engineering,8,-1,100,Engineering
268,Brazil,Construction,2021,Building Information Modeling (BIM),9,New,87.4879296575,AutoCAD
269,Brazil,Construction,2021,Operating Systems,10,-5,100,Operating Systems
270,Brazil,Consumer Goods,2021,Retail Sales,1,New,60.8572558945,Market Planning
271,Brazil,Consumer Goods,2021,Portuguese,2,2,100,Portuguese
272,Brazil,Consumer Goods,2021,Food & Beverage,3,New,71.9429952311,Trade Marketing
273,Brazil,Consumer Goods,2021,Client-focused,4,New,70.491242887,Business Planning
274,Brazil,Consumer Goods,2021,Commerce,5,New,72.6652417365,Business Planning
275,Brazil,Consumer Goods,2021,Operating Systems,6,-4,100,Operating Systems
276,Brazil,Consumer Goods,2021,5S,7,-6,100,5S
277,Brazil,Consumer Goods,2021,Client Prospecting,8,New,74.0893864293,Market Planning
278,Brazil,Consumer Goods,2021,Agility,9,New,62.7985380085,PDCA Cycle
279,Brazil,Consumer Goods,2021,Administration,10,New,71.0130092863,SAP Products
280,Brazil,Corporate Services,2021,Portuguese,1,0,100,Portuguese
281,Brazil,Corporate Services,2021,Client-focused,2,New,78.7188919287,Team Leadership
282,Brazil,Corporate Services,2021,Administrative Assistance,3,New,63.8572651071,Windows
283,Brazil,Corporate Services,2021,Administration,4,New,77.1935308178,Team Leadership
284,Brazil,Corporate Services,2021,Operating Systems,5,-3,100,Operating Systems
285,Brazil,Corporate Services,2021,Interpersonal Relationships,6,New,84.7899751417,Team Leadership
286,Brazil,Corporate Services,2021,Accounts Payable,7,New,73.9863947739,SAP Products
287,Brazil,Corporate Services,2021,Office Administration,8,New,67.4739127354,Team Leadership
288,Brazil,Corporate Services,2021,Accounts Receivable (AR),9,New,70.9187924175,SAP Products
289,Brazil,Corporate Services,2021,Informatics,10,New,63.1977077814,Team Leadership
290,Brazil,Design,2021,SketchUp,1,0,100,SketchUp
291,Brazil,Design,2021,V-Ray,2,New,94.2524365594,SketchUp
292,Brazil,Design,2021,Architecture,3,-1,100,Architecture
293,Brazil,Design,2021,Lumion,4,New,95.665491107,SketchUp
294,Brazil,Design,2021,Urban Design,5,New,95.6964370399,Architectural Design
295,Brazil,Design,2021,Architectural Drawings,6,New,97.0889914387,Architectural Design
296,Brazil,Design,2021,Interior Architecture,7,New,97.5672771687,Interior Design
297,Brazil,Design,2021,Revit,8,0,100,Revit
298,Brazil,Design,2021,Interior Design,9,-3,100,Interior Design
299,Brazil,Design,2021,CorelDRAW,10,-7,100,CorelDRAW
300,Brazil,Education,2021,Portuguese,1,0,100,Portuguese
301,Brazil,Education,2021,Education,2,New,92.4963994402,Teaching
302,Brazil,Education,2021,Higher Education,3,0,100,Higher Education
303,Brazil,Education,2021,Pedagogy,4,New,84.9049254508,E-Learning
304,Brazil,Education,2021,Teaching,5,-1,100,Teaching
305,Brazil,Education,2021,Lesson Planning,6,New,84.8507005512,Higher Education
306,Brazil,Education,2021,Brazilian Portuguese,7,New,95.4364704636,Spanish
307,Brazil,Education,2021,Early Childhood Education,8,New,82.1232406505,Teaching
308,Brazil,Education,2021,Spanish,9,-3,100,Spanish
309,Brazil,Education,2021,Interpersonal Relationships,10,New,84.9228320693,Spanish
310,Brazil,Energy & Mining,2021,5S,1,0,100,5S
311,Brazil,Energy & Mining,2021,Portuguese,2,7,100,Portuguese
312,Brazil,Energy & Mining,2021,PDCA Cycle,3,0,100,PDCA Cycle
313,Brazil,Energy & Mining,2021,Preventive Maintenance,4,New,79.6132099891,Engineering
314,Brazil,Energy & Mining,2021,Operating Systems,5,0,100,Operating Systems
315,Brazil,Energy & Mining,2021,Mechanics,6,New,75.0163066051,Engineering
316,Brazil,Energy & Mining,2021,Mining,7,-1,100,Mining
317,Brazil,Energy & Mining,2021,Maintenance & Repair,8,New,79.0637517039,Engineering
318,Brazil,Energy & Mining,2021,Maintenance Management,9,New,82.830614239,Engineering
319,Brazil,Energy & Mining,2021,Interpersonal Relationships,10,New,71.0543924556,Portuguese
320,Brazil,Entertainment,2021,Video Editing,1,New,97.2779021615,Video Production
321,Brazil,Entertainment,2021,Video Production,2,3,100,Video Production
322,Brazil,Entertainment,2021,Portuguese,3,New,68.0690231761,Cinema
323,Brazil,Entertainment,2021,Adobe Premiere Pro,4,New,89.7401896216,Video Production
324,Brazil,Entertainment,2021,Film Production,5,5,100,Film Production
325,Brazil,Entertainment,2021,Screenplays,6,New,93.0924248704,Film
326,Brazil,Entertainment,2021,Television,7,-6,100,Television
327,Brazil,Entertainment,2021,Journalism,8,1,100,Journalism
328,Brazil,Entertainment,2021,Entertainment,9,-1,100,Entertainment
329,Brazil,Entertainment,2021,Media Production,10,New,96.5991810037,Television
330,Brazil,Finance,2021,Client-focused,1,New,70.5057263957,Risk Management
331,Brazil,Finance,2021,Banking,2,1,100,Banking
332,Brazil,Finance,2021,Client Prospecting,3,New,68.0764101378,Banking
333,Brazil,Finance,2021,Portuguese,4,-3,100,Portuguese
334,Brazil,Finance,2021,Business Resilience,5,New,72.17671173,Portuguese
335,Brazil,Finance,2021,Investments,6,New,95.3704727365,Portfolio Management
336,Brazil,Finance,2021,Insurance,7,New,83.1164997366,Risk Management
337,Brazil,Finance,2021,Financial Services,8,New,92.6121407736,Portfolio Management
338,Brazil,Finance,2021,Credit,9,New,96.8329779085,Credit Risk
339,Brazil,Finance,2021,Financial Markets,10,-5,100,Financial Markets
340,Brazil,Hardware & Networking,2021,Telecommunications,1,1,100,Telecommunications
341,Brazil,Hardware & Networking,2021,Operating Systems,2,-1,100,Operating Systems
342,Brazil,Hardware & Networking,2021,Client-focused,3,New,70.1123404273,Portuguese
343,Brazil,Hardware & Networking,2021,Portuguese,4,3,100,Portuguese
344,Brazil,Hardware & Networking,2021,Telemarketing,5,New,66.5807080944,Telecommunications
345,Brazil,Hardware & Networking,2021,Optical Fiber,6,New,92.0899095,Wireless Technologies
346,Brazil,Hardware & Networking,2021,Informatics,7,New,61.3698142935,Operating Systems
347,Brazil,Hardware & Networking,2021,Fiber Optic Networks,8,New,89.5090829724,Internet Protocol (IP)
348,Brazil,Hardware & Networking,2021,Technical Support,9,New,82.1476232871,Operating Systems
349,Brazil,Hardware & Networking,2021,Gigabit-Capable Passive Optical Network (GPON),10,New,94.8012827765,GSM
350,Brazil,Health Care,2021,Nursing,1,New,93.8841364023,Hospitals
351,Brazil,Health Care,2021,Patient Care,2,New,84.4380129858,Hospitals
352,Brazil,Health Care,2021,Portuguese,3,3,100,Portuguese
353,Brazil,Health Care,2021,Client-focused,4,New,70.1123404273,Portuguese
354,Brazil,Health Care,2021,Critical Care Nursing,5,New,93.2967973355,Hospitals
355,Brazil,Health Care,2021,Hospitals,6,-5,100,Hospitals
356,Brazil,Health Care,2021,Interpersonal Relationships,7,New,71.0543924556,Portuguese
357,Brazil,Health Care,2021,Operating Systems,8,-5,100,Operating Systems
358,Brazil,Health Care,2021,Patient Safety,9,New,95.4749923752,Hospitals
359,Brazil,Health Care,2021,Administrative Assistance,10,New,58.7857342827,Healthcare
360,Brazil,Legal,2021,Consumer Law,1,9,100,Consumer Law
361,Brazil,Legal,2021,Legal Assistance,2,3,100,Legal Assistance
362,Brazil,Legal,2021,Civil Litigation,3,0,100,Civil Litigation
363,Brazil,Legal,2021,Family Law,4,New,96.7059329672,Legal Assistance
364,Brazil,Legal,2021,Legal Writing,5,1,100,Legal Writing
365,Brazil,Legal,2021,Legal Advice,6,-4,100,Legal Advice
366,Brazil,Legal,2021,Legal Research,7,0,100,Legal Research
